Level,Time,Rating,Summary,Feedback
Level 1,45.5,4.8,Great lighting,The lighting in the forest area is perfect; it really sets a relaxing mood.
Level 2,48.2,4.5,Smooth textures,The textures on the stone walls look very realistic for a mobile game.
Level 3,52.1,4.7,Love the trees,The trees swaying in the background is a nice touch. No lag at all.
Level 4,55,4.2,Clean art,"A bit of a simple level, but the art is clean and the path is very clear."
Level 5,58.3,4.6,Nice style,The pastel colors in the sky are beautiful. I stayed just to look at them.
Level 6,62.1,4.1,Solid colors,Everything is very easy to see. The contrast between players and floors is great.
Level 7,59.4,4.3,Good vibes,The textures are high quality but the level still runs very smoothly.
Level 8,65.2,4,Beautiful sky,The skybox is breathtaking. It feels like a high-budget console game.
Level 9,70.1,3.9,Cool water,The water effects are impressive. The reflections don't slow down the frame rate.
Level 10,68.5,4.1,Detailed world,The world feels alive because of the small details in the background art.
Level 11,55.2,4.4,Very polished,Very polished experience. The UI matches the level aesthetic perfectly.
Level 12,58.1,4.6,Great art,The character stands out perfectly against the environment. Great design.
Level 13,60.4,4.2,Nice design,Simple but effective. The color palette is very easy on the eyes.
Level 14,63.9,4.5,Solid,"Nothing special, but it’s solid and professional. No visual confusion."
Level 15,850.2,1.2,Terrible,CRITICAL ISSUE: The neon flashing lights gave me a headache. Unplayable.
Level 16,66.4,4.1,Clean look,The clean look makes it very easy to focus on the platforming challenges.
Level 17,62.8,4.3,Good lighting,The lighting effects are subtle and don't distract from the actual gameplay.
Level 18,69.1,4,Pretty,A very pretty level. The purple and blue hues work really well together.
Level 19,72.5,4.4,Awesome,The boss arena looks awesome. The scale of the background is massive.
Level 20,75,4.5,Classic style,A classic platformer look. It’s very nostalgic and the art is consistent.
Level 21,44.7,4.7,Great start,Great starting area for the new chapter. The transition is very smooth.
Level 22,49.3,4.6,Smooth,The movement feels better because the background isn't distracting.
Level 23,53.9,4.4,Nice art,Really nice character art. The animations look great against this backdrop.
Level 24,58.2,4.5,Okay,"An okay level. The art is fine, but it doesn't stand out as much as Level 1."
Level 25,61.4,4.2,Solid,The color choices are solid. No complaints about visibility here.
Level 26,65.8,4.1,Clean,Very clean design. It’s easy to tell what is a hazard and what is a platform.
Level 27,62.1,4.3,Good colors,The awesome lighting makes the cave feel deep and mysterious.
Level 28,68.4,4,Great vibe,The vibe is great. The music and art work together perfectly.
Level 29,70.2,4.4,Nice,"A nice, simple layout. The minimalism helps with the difficulty."
Level 30,72.9,4.6,Perfect,The perfect level. The art is beautiful and the platforms are obvious.
Level 31,54.5,4.5,Great look,"The look is great, but the level is a bit short. More art please!"
Level 32,57.3,4.2,Polished,Polished and professional. This should be the standard for the whole game.
Level 33,61.2,4.6,Nice work,Nice work on the particle effects. They look cool but don't block the view.
Level 34,64.1,4.1,Clean art,"The art is clean, but the platforms feel a bit repetitive."
Level 35,912.8,0.8,Bugs Everywhere,MAJOR BUG: Overlapping rocks and trees make it impossible to see the floor.
Level 36,68,4.4,Solid,Very polished. The transition from the dark area to the light area is great.
Level 37,65.9,4.2,Nice,The art style is consistent with the rest of the game. Very solid.
Level 38,71.3,4.5,Great,Great work on the mountain textures. They look very rugged and cool.
Level 39,74.6,4.3,Cool,The glowing effects are cool and don't hurt my eyes like Level 15 did.
Level 40,78.2,4.7,Epic finish,The final level looks amazing. The epic sunset is a great way to finish.
Level 41,50.1,4.6,Fresh look,New assets look great. Very distinct from the first 40 levels.
Level 42,52.4,4.5,Vibrant,The green foliage is very punchy. Makes the level feel energetic.
Level 43,55.8,4.4,Sharp,High resolution textures on the ice blocks. Looks very premium.
Level 44,58.1,4.3,Moody,The fog effects add a lot of tension without hurting visibility.
Level 45,30,4.5,Dynamic,Moving platforms blend perfectly into the environment.
Level 46,63.9,4.2,Bright,The desert theme is bright but the shadows help guide the path.
Level 47,60.5,4.4,Balanced,Good mix of indoor and outdoor visuals. Transition is seamless.
Level 48,66.1,4.1,Sturdy,Industrial look is cool. The metal reflections are a nice touch.
Level 49,69.4,4,Solid art,Consistent with the industrial theme. No visual noise.
Level 50,71.2,4.3,Grand,The background architecture is massive. Feels very epic.
Level 51,56.7,4.5,Clean,Very clear where to go. The pathfinding is visually intuitive.
Level 52,59.3,4.6,Stylish,Modern aesthetic works well for this puzzle-heavy level.
Level 53,62.8,4.4,Colorful,Neon accents are used much better here than in Level 15.
Level 54,65.2,4.2,Polished,No jagged edges on the geometry. Very smooth experience.
Level 55,68.9,4.1,Atmospheric,The rain effect is subtle and doesn't cause any frame drops.
Level 56,70.4,4.3,Detailed,Small props in the houses add a lot of character to the world.
Level 57,63.1,4.4,Natural,The cave lighting is realistic and helps highlight the exits.
Level 58,69.5,4,Good,"Standard level, but visually very competent and clean."
Level 59,71.8,4.5,Excellent,One of the best looking levels in the second half. Great bloom.
Level 60,74.1,4.6,Pro level,Level design and art are perfectly synced here.
Level 61,55.4,4.4,Great UI,The in-world UI elements for this level look fantastic.
Level 62,58.2,4.2,Simple,Clean and minimalist. Doesn't distract from the mechanics.
Level 63,61.9,4.5,Rich,Deep colors and high contrast make this level pop on OLED screens.
Level 64,64.3,4.1,Solid,Good use of vertical space in the background art.
Level 65,67.8,4.3,Nice,The wind effects on the grass look very life-like.
Level 66,70.5,4,Standard,"Nothing flashy, but the art doesn't get in the way of gameplay."
Level 67,62.4,4.7,Surprising,The secret tunnel in this stage gave us goosebumps. Clever.
Level 68,69.1,4.5,Beautiful,The underwater coral looks amazing. Great use of blues.
Level 69,72.3,4.2,Good,Visibility is high even with the water distortion effects.
Level 70,75.6,4.7,Masterpiece,The lighting transitions as you climb the tower are incredible.
Level 71,56.2,4.4,Clear,Obstacles are very well defined against the background.
Level 72,59.8,4.3,Nice style,The hand-drawn look for this specific area is a nice change.
Level 73,63.4,4.5,Smooth,Animation work on the background NPCs is top notch.
Level 74,66.9,4.2,Solid,Good consistency. Feels like a part of the same world.
Level 75,69.2,4.4,Polished,The lava effects look dangerous but the hitboxes are clear.
Level 76,71.5,4.1,Clean,No clutter. Very easy to speedrun because of visual clarity.
Level 77,73.8,4.3,Strong,Good use of color theory to guide the player toward the goal.
Level 78,985.4,0.5,Unplayable Glitch,FATAL ERROR: The level doesn't load textures properly. I fell through the floor for 15 minutes.
Level 79,76.1,4.4,Cool,Space theme looks great. The starfield isn't distracting.
Level 80,788,5,Legendary,The final showdown looks incredible. Best visuals in the game.